timestamp,iter,lr,eta,time,data_time,memory,cls,reg,d0.cls,d0.reg,d1.cls,d1.reg,d2.cls,d2.reg,d3.cls,d3.reg,d4.cls,d4.reg,seg,seg_dice,cls_t0,reg_t0,d0.cls_t0,d0.reg_t0,d1.cls_t0,d1.reg_t0,d2.cls_t0,d2.reg_t0,d3.cls_t0,d3.reg_t0,d4.cls_t0,d4.reg_t0,seg_t0,seg_dice_t0,cls_t1,reg_t1,d0.cls_t1,d0.reg_t1,d1.cls_t1,d1.reg_t1,d2.cls_t1,d2.reg_t1,d3.cls_t1,d3.reg_t1,d4.cls_t1,d4.reg_t1,seg_t1,seg_dice_t1,cls_t2,reg_t2,d0.cls_t2,d0.reg_t2,d1.cls_t2,d1.reg_t2,d2.cls_t2,d2.reg_t2
"2026-04-13 02:53:44,722",550,5e-05,8 days 21:36:13,4.523,0.102,30904.0,0.4018,0.9324,0.5097,1.6641,0.4497,1.2904,0.4268,1.1387,0.415,1.045,0.4033,0.9652,0.0391,0.0705,0.4816,1.0924,1.0416,2.6279,0.6985,1.6789,0.603,1.3787,0.5342,1.2216,0.4849,1.1461,0.0663,0.115,0.3942,0.9305,0.586,1.7291,0.5043,1.3127,0.4647,1.1406,0.4243,1.0223,0.3979,0.956,0.0486,0.0828,0.374,0.9294,0.5126,1.6343,0.4435,1.2887,0.4174,"1.1066,"
"2026-04-13 02:57:31,089",600,5e-05,8 days 21:16:10,4.528,0.103,30953.0,0.4046,0.9778,0.5276,1.6457,0.45,1.2952,0.4295,1.1571,0.4085,1.0556,0.3961,1.013,0.0446,0.0757,0.4436,1.0272,0.9746,2.5653,0.6385,1.6258,0.5598,1.3143,0.4902,1.167,0.4444,1.0869,0.0667,0.12,0.4051,0.9165,0.5535,1.6517,0.4816,1.2661,0.4554,1.1103,0.4226,0.9936,0.4022,0.9404,0.0513,0.0871,0.3869,0.8842,0.5201,1.5706,0.4412,1.2066,0.4308,"1.0571,"
"2026-04-13 03:01:18,384",650,5e-05,8 days 21:02:25,4.545,0.107,30953.0,0.4011,0.9311,0.4922,1.6322,0.4333,1.2812,0.422,1.1146,0.4021,1.0189,0.3997,0.9583,0.0446,0.0826,0.4398,0.9843,0.9696,2.5917,0.6693,1.6318,0.5812,1.2768,0.4971,1.1137,0.4427,1.0319,0.0683,0.1258,0.3677,0.8584,0.5515,1.5852,0.4618,1.2027,0.4304,1.0257,0.3907,0.9318,0.3653,0.8733,0.0478,0.0858,0.3503,0.8378,0.492,1.5262,0.4169,1.2035,0.3937,"1.0238,"
"2026-04-13 03:05:02,927",700,5e-05,8 days 20:39:21,4.491,0.1,30953.0,0.4007,0.8814,0.5309,1.5799,0.4562,1.2338,0.4423,1.0798,0.418,0.9814,0.4034,0.9177,0.041,0.0727,0.4698,1.0332,1.0188,2.7155,0.6896,1.6843,0.5996,1.3504,0.5288,1.1934,0.4724,1.0914,0.0673,0.1221,0.4175,0.8928,0.6014,1.7004,0.5096,1.281,0.4731,1.1063,0.4428,0.9898,0.4121,0.9241,0.0512,0.096,0.4034,0.8601,0.5312,1.6089,0.4634,1.2183,0.4414,"1.0539,"
"2026-04-13 03:08:49,101",750,5e-05,8 days 20:24:43,4.523,0.105,30953.0,0.4042,0.9115,0.5199,1.6203,0.4464,1.2864,0.4317,1.1173,0.4126,1.016,0.3986,0.9441,0.041,0.0712,0.4734,1.0088,0.9796,2.5282,0.6741,1.6303,0.5902,1.2788,0.5196,1.1375,0.479,1.0554,0.0646,0.1171,0.3923,0.8988,0.5551,1.6509,0.4653,1.2657,0.4453,1.0807,0.4102,0.9975,0.3887,0.9275,0.0471,0.0872,0.3868,0.9159,0.526,1.5594,0.4425,1.2486,0.4231,"1.0816,"
"2026-04-13 03:12:35,909",800,5e-05,8 days 20:13:49,4.537,0.105,30953.0,0.3857,0.9075,0.5167,1.6347,0.4456,1.2592,0.4254,1.0962,0.4014,0.9942,0.3859,0.9409,0.0425,0.0775,0.4907,1.1161,1.0188,2.7237,0.7351,1.7573,0.6552,1.4185,0.562,1.2554,0.5161,1.1507,0.0728,0.1316,0.4066,0.942,0.58,1.7289,0.4862,1.3491,0.4651,1.1383,0.4209,1.0258,0.4082,0.9615,0.0537,0.0942,0.3932,0.8569,0.5282,1.5907,0.4554,1.2271,0.4362,"1.0401,"
"2026-04-13 03:16:22,287",850,5e-05,8 days 20:02:11,4.527,0.107,30953.0,0.4242,1.0116,0.5527,1.7747,0.4713,1.3566,0.4447,1.1954,0.4309,1.0991,0.4257,1.0424,0.0448,0.0804,0.4807,1.0953,1.0216,2.6523,0.7006,1.6796,0.6157,1.3578,0.5391,1.214,0.4891,1.1413,0.0707,0.1326,0.4244,0.9505,0.6109,1.7068,0.511,1.3082,0.4806,1.1211,0.4491,1.0239,0.4279,0.9686,0.0567,0.0959,0.4172,0.9448,0.5464,1.622,0.4584,1.257,0.4425,"1.1009,"
"2026-04-13 03:20:07,730",900,5e-05,8 days 19:48:42,4.509,0.104,30953.0,0.4756,1.072,0.5993,1.839,0.5239,1.4488,0.5065,1.271,0.4746,1.1814,0.4706,1.1101,0.0455,0.0858,0.5214,1.1141,1.0685,2.7494,0.742,1.7662,0.6519,1.4364,0.5748,1.2614,0.5297,1.1639,0.0717,0.1364,0.4418,0.991,0.6346,1.8038,0.5275,1.3808,0.4984,1.1805,0.4647,1.0752,0.4508,1.0054,0.0526,0.0974,0.4399,0.8884,0.5861,1.6825,0.5095,1.2948,0.4872,"1.0991,"
"2026-04-13 03:23:54,731",950,5e-05,8 days 19:40:43,4.54,0.108,30953.0,0.4534,1.0108,0.5717,1.8127,0.4954,1.3866,0.4859,1.2224,0.4684,1.1066,0.4604,1.0446,0.0442,0.0808,0.4558,1.0448,1.0281,2.7897,0.6989,1.7028,0.5993,1.3634,0.5172,1.1996,0.4698,1.109,0.067,0.125,0.4219,0.9683,0.5668,1.826,0.4912,1.3883,0.4683,1.1675,0.4356,1.0577,0.421,0.9864,0.0518,0.0985,0.4064,0.9526,0.5325,1.6984,0.461,1.2979,0.4449,"1.1382,"
"2026-04-13 03:27:43,091",1000,5e-05,8 days 19:36:51,4.567,0.107,30953.0,0.355,0.7969,0.4884,1.4677,0.4255,1.1263,0.3983,0.9812,0.3795,0.8818,0.3622,0.8278,0.0412,0.0791,0.4399,0.9824,0.9807,2.6073,0.6787,1.604,0.5914,1.2728,0.5034,1.1238,0.4471,1.0374,0.0659,0.1274,0.3831,0.8237,0.5416,1.5576,0.4615,1.1891,0.4316,1.0064,0.4028,0.8973,0.3847,0.8363,0.0489,0.0902,0.3456,0.7713,0.4868,1.4495,0.4154,1.1075,0.3922,"0.9576,"
"2026-04-13 03:31:31,095",1050,5e-05,8 days 19:32:12,4.561,0.108,30953.0,0.3907,0.8733,0.5132,1.5857,0.4415,1.2476,0.4206,1.0755,0.4125,0.9884,0.3965,0.911,0.0452,0.0827,0.461,1.0213,0.9934,2.6567,0.6828,1.6672,0.5994,1.3153,0.527,1.1532,0.4788,1.0551,0.0673,0.1168,0.3908,0.8436,0.5662,1.6637,0.477,1.2479,0.4466,1.0595,0.4102,0.9399,0.3934,0.8672,0.0489,0.0847,0.3626,0.8058,0.5082,1.456,0.4259,1.1109,0.4027,"0.9773,"
"2026-04-13 03:35:18,430",1100,4.999e-05,8 days 19:25:50,4.546,0.104,30953.0,0.3916,0.8299,0.5256,1.5196,0.4481,1.1912,0.4263,1.0208,0.4024,0.9111,0.3868,0.8684,0.043,0.0767,0.467,1.0475,1.0383,2.6691,0.6929,1.6912,0.6157,1.3254,0.5232,1.1705,0.4762,1.0938,0.0696,0.127,0.3932,0.8875,0.5928,1.6902,0.4843,1.2838,0.4576,1.0697,0.4225,0.9664,0.3953,0.9085,0.0529,0.0919,0.3866,0.8334,0.5202,1.5575,0.4428,1.1836,0.4228,"1.0061,"
"2026-04-13 03:39:05,029",1150,4.999e-05,8 days 19:17:58,4.532,0.101,30953.0,0.4213,0.9859,0.5447,1.7104,0.4781,1.3336,0.4576,1.1591,0.4418,1.0745,0.4253,1.0146,0.0483,0.0887,0.4959,1.1589,1.0714,2.7701,0.7507,1.7644,0.6487,1.4124,0.558,1.2667,0.5167,1.188,0.0742,0.1369,0.4274,1.0089,0.6068,1.7696,0.5096,1.364,0.4795,1.1631,0.4513,1.0855,0.4354,1.0175,0.0566,0.1052,0.4054,0.9778,0.5529,1.7072,0.4805,1.3511,0.4563,"1.1603,"
"2026-04-13 03:42:51,932",1200,4.999e-05,8 days 19:11:08,4.538,0.11,30953.0,0.3806,0.8713,0.4907,1.5562,0.4307,1.1931,0.4097,1.0432,0.3866,0.964,0.3807,0.8997,0.045,0.0852,0.4834,0.9866,1.0236,2.5907,0.6933,1.6008,0.6004,1.2555,0.531,1.1166,0.4907,1.0364,0.073,0.135,0.3874,0.8566,0.5861,1.6118,0.4857,1.2107,0.4523,1.0287,0.4231,0.9214,0.3892,0.8703,0.0537,0.0945,0.3763,0.8319,0.5196,1.5248,0.4405,1.1632,0.4167,"0.9943,"
"2026-04-13 03:46:39,734",1250,4.999e-05,8 days 19:06:28,4.555,0.111,30953.0,0.4165,0.9402,0.5555,1.6837,0.4838,1.2809,0.4583,1.1192,0.431,1.0322,0.4128,0.9679,0.0501,0.0897,0.4891,1.0764,1.0714,2.7632,0.7551,1.7105,0.6368,1.3929,0.5454,1.2171,0.5043,1.1241,0.0742,0.1366,0.4264,0.9646,0.6278,1.7838,0.5286,1.3485,0.4882,1.1541,0.4535,1.0366,0.4312,0.9843,0.0589,0.1034,0.4188,0.9331,0.5667,1.6337,0.5076,1.253,0.4697,"1.1227,"
"2026-04-13 03:50:27,268",1300,4.999e-05,8 days 19:01:26,4.551,0.104,30953.0,0.3857,0.8682,0.5169,1.6209,0.4466,1.2337,0.4247,1.0689,0.3999,0.9735,0.386,0.9163,0.0453,0.0856,0.5015,1.1519,1.1084,2.9151,0.7696,1.8369,0.6514,1.465,0.5594,1.2997,0.5141,1.2055,0.0745,0.139,0.4393,1.0063,0.6303,1.8234,0.5342,1.4093,0.5041,1.2097,0.4601,1.0918,0.4381,1.0342,0.0577,0.1064,0.3981,0.9053,0.5587,1.673,0.4664,1.287,0.4413,"1.0938,"
"2026-04-13 03:54:14,077",1350,4.999e-05,8 days 18:54:55,4.536,0.107,30953.0,0.446,0.8801,0.5767,1.6302,0.5006,1.2317,0.4774,1.0663,0.4573,0.9661,0.4473,0.9134,0.0472,0.0889,0.5368,1.0854,1.1251,2.7019,0.8,1.7087,0.6925,1.3642,0.6009,1.2118,0.5469,1.1348,0.0791,0.1437,0.4557,0.9284,0.6582,1.8025,0.5367,1.3154,0.5159,1.121,0.4779,0.9942,0.4571,0.9376,0.056,0.098,0.434,0.8836,0.6009,1.6289,0.5064,1.2237,0.4813,"1.0474,"
"2026-04-13 03:58:01,195",1400,4.999e-05,8 days 18:49:13,4.542,0.113,30953.0,0.4124,0.8549,0.5357,1.5623,0.4595,1.1908,0.4345,1.0307,0.4176,0.9496,0.4109,0.8891,0.0484,0.0914,0.461,1.0393,1.0994,2.7759,0.6988,1.721,0.5999,1.3364,0.5266,1.1682,0.4703,1.085,0.0748,0.1426,0.42,0.9327,0.5789,1.7166,0.4916,1.2912,0.4629,1.1305,0.4428,1.0223,0.4205,0.9427,0.0552,0.106,0.411,0.8913,0.5448,1.6141,0.4623,1.2568,0.4421,"1.0824,"
"2026-04-13 04:01:48,789",1450,4.999e-05,8 days 18:44:35,4.552,0.109,30953.0,0.3873,0.8531,0.5078,1.5611,0.4444,1.1792,0.4194,1.0309,0.3985,0.9423,0.384,0.8938,0.0493,0.0933,0.5081,1.1191,1.1234,2.8442,0.7559,1.7898,0.654,1.4318,0.5717,1.2453,0.526,1.1643,0.0794,0.1566,0.4208,0.9519,0.6122,1.773,0.5045,1.3199,0.4704,1.142,0.4409,1.0383,0.4223,0.9808,0.0588,0.1136,0.3863,0.8756,0.5379,1.6199,0.4437,1.249,0.4222,"1.0506,"
"2026-04-13 04:05:35,826",1500,4.999e-05,8 days 18:38:57,4.541,0.107,30953.0,0.4314,0.998,0.561,1.753,0.4849,1.3529,0.4616,1.1839,0.4411,1.0813,0.429,1.0303,0.0526,0.0963,0.4907,1.1013,1.0731,2.7817,0.7504,1.7517,0.6376,1.3866,0.5497,1.2274,0.5006,1.1468,0.0795,0.1496,0.4274,0.9798,0.6349,1.7635,0.5128,1.3379,0.4784,1.1567,0.449,1.055,0.4272,0.9983,0.0592,0.1116,0.4169,0.9443,0.5621,1.7048,0.486,1.3066,0.4576,"1.1227,"
"2026-04-13 04:09:22,615",1550,4.999e-05,8 days 18:32:59,4.536,0.105,30953.0,0.4383,0.9045,0.5447,1.5911,0.486,1.2588,0.4544,1.1061,0.4417,1.0009,0.4337,0.9437,0.0491,0.0806,0.5526,1.081,1.127,2.7604,0.7848,1.6953,0.6804,1.3738,0.5915,1.2292,0.5513,1.1403,0.0822,0.1384,0.4662,0.9251,0.664,1.7937,0.5558,1.3349,0.517,1.1392,0.4867,1.0136,0.4642,0.9476,0.0617,0.1032,0.4261,0.8585,0.5957,1.6631,0.5065,1.2581,0.4761,"1.0808,"
"2026-04-13 04:13:10,186",1600,4.999e-05,8 days 18:28:32,4.552,0.1,30953.0,0.4034,0.9166,0.5252,1.6545,0.4549,1.2977,0.4401,1.1174,0.4116,1.0162,0.4052,0.9655,0.0496,0.085,0.5164,1.062,1.0937,2.7686,0.7521,1.7551,0.6414,1.4002,0.5704,1.1994,0.5204,1.1123,0.082,0.146,0.4236,0.8931,0.625,1.7135,0.5129,1.2717,0.48,1.0752,0.4363,0.9818,0.4251,0.9191,0.06,0.1048,0.3795,0.8501,0.5511,1.6268,0.4589,1.2226,0.4321,"1.0272,"
"2026-04-13 04:16:58,647",1650,4.999e-05,8 days 18:25:34,4.569,0.109,30953.0,0.3794,0.9159,0.4998,1.5857,0.4288,1.2344,0.4045,1.1028,0.3856,1.0005,0.382,0.9518,0.0483,0.0814,0.4968,1.0986,1.0687,2.7092,0.7282,1.7199,0.6468,1.3631,0.5571,1.2247,0.5143,1.1317,0.0824,0.1355,0.4164,0.9728,0.6164,1.8061,0.5083,1.3547,0.4717,1.1538,0.4354,1.059,0.4187,0.9924,0.0583,0.1002,0.3809,0.8948,0.5337,1.5867,0.4525,1.2308,0.4279,"1.0629,"
"2026-04-13 04:20:45,239",1700,4.999e-05,8 days 18:19:32,4.532,0.104,30953.0,0.3806,0.8246,0.4936,1.462,0.4318,1.1256,0.4161,0.9804,0.3963,0.9008,0.3816,0.8605,0.048,0.0892,0.4554,1.0706,1.0967,2.6969,0.708,1.6798,0.6022,1.3434,0.5133,1.2092,0.4662,1.1226,0.083,0.1489,0.4134,0.9161,0.598,1.7036,0.4993,1.2769,0.464,1.0901,0.433,1.001,0.414,0.9414,0.0598,0.1067,0.3937,0.8575,0.5346,1.5718,0.4503,1.2008,0.4227,"1.0274,"
"2026-04-13 04:25:52,524",1750,4.999e-05,8 days 20:21:18,6.146,1.802,30953.0,0.3784,0.9448,0.502,1.6201,0.44,1.2847,0.4268,1.1245,0.4028,1.0266,0.3868,0.9692,0.0493,0.0862,0.4755,1.044,1.1037,2.6873,0.7539,1.6802,0.6435,1.3312,0.5527,1.1702,0.4879,1.0854,0.0826,0.1348,0.3825,0.9056,0.5941,1.7144,0.4947,1.2609,0.4549,1.0933,0.4136,0.9892,0.3819,0.9291,0.0584,0.0959,0.3651,0.8981,0.5179,1.6322,0.439,1.2539,0.4133,"1.0862,"
"2026-04-13 04:29:38,109",1800,4.999e-05,8 days 20:10:24,4.512,0.093,30953.0,0.3785,0.8213,0.5101,1.4698,0.4292,1.118,0.4158,0.9682,0.3934,0.8911,0.379,0.8412,0.0504,0.0905,0.5026,1.0709,1.0963,2.6187,0.7507,1.6446,0.6418,1.3348,0.5581,1.1917,0.5026,1.11,0.0812,0.1558,0.4155,0.8608,0.5907,1.6101,0.4982,1.215,0.4653,1.0416,0.4254,0.9519,0.4105,0.8818,0.0594,0.1086,0.4149,0.7964,0.5387,1.4894,0.4562,1.1456,0.4364,"0.9902,"
"2026-04-13 04:33:24,442",1850,4.999e-05,8 days 20:01:00,4.527,0.096,30953.0,0.3771,0.8693,0.5328,1.5922,0.4344,1.2017,0.4097,1.045,0.3845,0.957,0.3741,0.9074,0.0513,0.0972,0.4492,1.0275,0.9959,2.5179,0.6665,1.5896,0.564,1.2892,0.4925,1.1455,0.4522,1.0618,0.0863,0.1492,0.4068,0.9058,0.5747,1.6394,0.4671,1.223,0.44,1.0675,0.4134,0.9838,0.4089,0.9196,0.0638,0.1111,0.3825,0.8679,0.5418,1.536,0.4338,1.1932,0.4145,"1.0447,"
"2026-04-13 04:37:10,266",1900,4.998e-05,8 days 19:51:06,4.516,0.101,30953.0,0.3996,0.8282,0.5342,1.5245,0.4514,1.1764,0.4426,1.0005,0.4087,0.9258,0.4025,0.862,0.0494,0.0918,0.4808,1.0224,1.0532,2.7726,0.7042,1.685,0.5921,1.327,0.5203,1.1688,0.4854,1.073,0.0754,0.1414,0.3959,0.8912,0.5849,1.7288,0.4869,1.2606,0.4621,1.0605,0.4185,0.9658,0.4001,0.8965,0.0572,0.1031,0.3978,0.8267,0.552,1.6096,0.4645,1.2174,0.4467,"1.0090,"
"2026-04-13 04:40:55,648",1950,4.998e-05,8 days 19:40:56,4.507,0.105,30953.0,0.4221,0.8526,0.5525,1.5786,0.4779,1.1951,0.4522,1.0471,0.4352,0.9366,0.4253,0.8802,0.0529,0.0966,0.5528,1.1214,1.1322,2.8208,0.7843,1.7636,0.7023,1.3987,0.6081,1.2491,0.5553,1.1759,0.0857,0.1577,0.4644,0.9122,0.6806,1.741,0.561,1.2859,0.5228,1.1022,0.4835,0.9935,0.462,0.93,0.0653,0.1204,0.4491,0.8737,0.6122,1.6278,0.5075,1.2461,0.4798,"1.0730,"
"2026-04-13 04:44:40,296",2000,4.998e-05,8 days 19:30:05,4.493,0.1,30953.0,0.3608,0.8494,0.4769,1.5455,0.4019,1.1922,0.3925,1.0192,0.3711,0.9345,0.3579,0.882,0.0479,0.0908,0.4287,0.973,1.0126,2.5546,0.675,1.5668,0.5739,1.2287,0.481,1.1047,0.4376,1.0101,0.0778,0.1396,0.3469,0.8075,0.5299,1.5607,0.4381,1.1429,0.4032,0.9705,0.3732,0.8718,0.3511,0.8116,0.0588,0.1077,0.3486,0.7417,0.4733,1.4084,0.4106,1.038,0.3765,"0.9076,"
"2026-04-13 04:48:26,699",2050,4.998e-05,8 days 19:21:57,4.528,0.103,30953.0,0.4086,0.837,0.5267,1.5618,0.4503,1.185,0.4338,1.0233,0.4197,0.9228,0.4021,0.8692,0.05,0.0915,0.499,1.101,1.1028,2.74,0.7537,1.7224,0.6717,1.3232,0.56,1.2101,0.5093,1.1432,0.0822,0.1544,0.4084,0.9348,0.6349,1.6887,0.5063,1.2903,0.4655,1.1108,0.4273,1.0047,0.4128,0.9516,0.0608,0.1112,0.391,0.8591,0.552,1.5948,0.4554,1.2169,0.4238,"1.0544,"
"2026-04-13 04:52:12,700",2100,4.998e-05,8 days 19:13:29,4.52,0.098,30953.0,0.3785,0.751,0.4902,1.4544,0.4293,1.0843,0.4037,0.9142,0.3903,0.8146,0.3781,0.776,0.05,0.0969,0.4149,0.9313,0.9787,2.4623,0.6504,1.4832,0.5582,1.175,0.4661,1.0467,0.4281,0.9743,0.0781,0.1374,0.3579,0.8098,0.5562,1.5047,0.4445,1.1374,0.414,0.9633,0.3739,0.8696,0.3577,0.8173,0.0614,0.1032,0.3444,0.7179,0.4955,1.4062,0.4133,1.034,0.3931,"0.8631,"
"2026-04-13 04:55:57,342",2150,4.998e-05,8 days 19:03:31,4.493,0.107,30953.0,0.4052,0.8838,0.5406,1.5938,0.4719,1.2392,0.4467,1.0664,0.4275,0.9764,0.4081,0.921,0.0522,0.1014,0.4856,1.1231,1.1371,2.7819,0.7525,1.7277,0.6423,1.3845,0.5498,1.2324,0.5095,1.1496,0.0874,0.1577,0.4107,0.9578,0.5986,1.8214,0.486,1.3405,0.4667,1.1385,0.4358,1.0241,0.411,0.9642,0.0621,0.1134,0.3923,0.8824,0.5338,1.583,0.4442,1.2401,0.4305,"1.0507,"
"2026-04-13 04:59:43,135",2200,4.998e-05,8 days 18:55:17,4.516,0.099,30953.0,0.3376,0.7924,0.4715,1.3713,0.3873,1.0794,0.3715,0.9577,0.3493,0.8737,0.3367,0.8201,0.0479,0.0879,0.4898,1.0963,1.0983,2.8243,0.7393,1.7363,0.6469,1.3974,0.5467,1.2297,0.4892,1.1598,0.0815,0.1415,0.3867,0.8671,0.6088,1.6702,0.487,1.2179,0.4515,1.0487,0.4176,0.9384,0.3954,0.8773,0.0574,0.0984,0.3506,0.7844,0.4996,1.4288,0.4167,1.0729,0.3918,"0.9383,"
