timestamp,iter,lr,eta,time,data_time,memory,cls,reg,d0.cls,d0.reg,d1.cls,d1.reg,d2.cls,d2.reg,d3.cls,d3.reg,d4.cls,d4.reg,seg,seg_dice,cls_t0,reg_t0,d0.cls_t0,d0.reg_t0,d1.cls_t0,d1.reg_t0,d2.cls_t0,d2.reg_t0,d3.cls_t0,d3.reg_t0,d4.cls_t0,d4.reg_t0,seg_t0,seg_dice_t0,cls_t1,reg_t1,d0.cls_t1,d0.reg_t1,d1.cls_t1,d1.reg_t1,d2.cls_t1,d2.reg_t1,d3.cls_t1,d3.reg_t1,d4.cls_t1,d4.reg_t1,seg_t1,seg_dice_t1,cls_t2,reg_t2,d0.cls_t2,d0.reg_t2,d1.cls_t2,d1.reg_t2,d2.cls_t2,d2.reg_t2
"2026-04-13 02:15:54,234",50,1.993e-05,10 days 0:37:33,5.164,0.376,30781.0,0.2669,0.6417,0.3511,1.3118,0.3078,1.017,0.3019,0.848,0.2785,0.755,0.2655,0.683,0.0253,0.0513,0.2713,0.6878,0.8246,2.1641,0.5118,1.2755,0.4323,0.9321,0.338,0.7939,0.2834,0.7273,0.0376,0.0766,0.2335,0.6153,0.3584,1.2949,0.3086,0.9882,0.2909,0.8004,0.2572,0.7008,0.2367,0.6538,0.0276,0.0587,0.2378,0.652,0.3348,1.2252,0.2932,0.9778,0.2788,0.821
"2026-04-13 02:19:42,175",100,2.327e-05,9 days 10:27:41,4.559,0.089,30781.0,0.3257,0.7128,0.4159,1.386,0.3647,1.1019,0.3492,0.9242,0.3363,0.8288,0.3275,0.7599,0.03,0.0611,0.3811,0.8599,0.98,2.6688,0.6457,1.6076,0.5425,1.1995,0.4445,1.017,0.3835,0.9235,0.0488,0.0882,0.3181,0.7325,0.4698,1.4848,0.3936,1.1262,0.3775,0.933,0.3475,0.8271,0.3258,0.7659,0.0365,0.0678,0.304,0.6754,0.4153,1.3142,0.3545,1.0269,0.3332,"0.8491,"
"2026-04-13 02:23:29,732",150,2.66e-05,9 days 5:34:10,4.55,0.094,30887.0,0.2721,0.6599,0.3531,1.2414,0.3061,0.9757,0.2992,0.844,0.2826,0.7503,0.2734,0.6879,0.0273,0.0535,0.2952,0.7111,0.7935,2.2577,0.519,1.3124,0.425,0.9812,0.3407,0.8426,0.2985,0.7583,0.0425,0.0813,0.2465,0.5829,0.353,1.2845,0.3036,0.9419,0.2908,0.7673,0.261,0.6668,0.2461,0.613,0.0315,0.0592,0.2403,0.5877,0.3414,1.2549,0.2886,0.922,0.275,0.7682
"2026-04-13 02:27:16,795",200,2.993e-05,9 days 2:59:15,4.541,0.102,30887.0,0.2532,0.6584,0.3242,1.2526,0.2921,0.9766,0.2834,0.829,0.2692,0.7355,0.2549,0.6871,0.0284,0.0568,0.3029,0.734,0.8426,2.2909,0.5398,1.3627,0.4527,0.9957,0.3537,0.8598,0.3079,0.7846,0.0449,0.0823,0.2627,0.6434,0.3959,1.2598,0.3279,0.9515,0.3098,0.8102,0.2856,0.7262,0.2662,0.6628,0.0324,0.0614,0.2524,0.6481,0.3604,1.1889,0.2986,0.8974,0.2845,0.7846
"2026-04-13 02:31:04,546",250,3.327e-05,9 days 1:32:41,4.556,0.099,30887.0,0.3208,0.7595,0.4108,1.3652,0.3705,1.0832,0.3528,0.9351,0.3346,0.8475,0.3221,0.7883,0.0317,0.0566,0.3141,0.8369,0.8564,2.3526,0.5634,1.4243,0.4735,1.1011,0.3825,0.9542,0.3267,0.8822,0.0505,0.0895,0.2962,0.7232,0.4313,1.4361,0.3623,1.0826,0.3424,0.9204,0.317,0.8269,0.2987,0.7553,0.0367,0.0648,0.305,0.6743,0.392,1.3246,0.3371,1.0074,0.3201,0.8596
"2026-04-13 02:34:50,781",300,3.66e-05,9 days 0:19:06,4.524,0.099,30887.0,0.3328,0.8236,0.4128,1.4758,0.3584,1.1708,0.3506,1.0191,0.3364,0.9232,0.3316,0.8647,0.0331,0.0624,0.3597,0.8913,0.8947,2.4522,0.6025,1.502,0.5136,1.1559,0.4279,1.0035,0.38,0.9278,0.0534,0.0973,0.316,0.7646,0.4506,1.4651,0.3863,1.1099,0.3552,0.941,0.3329,0.8407,0.3166,0.782,0.0396,0.0715,0.2984,0.7923,0.4084,1.4071,0.3521,1.1056,0.3339,0.9489
"2026-04-13 02:38:37,321",350,3.993e-05,8 days 23:28:16,4.531,0.098,30887.0,0.3185,0.731,0.4041,1.3697,0.3577,1.0646,0.3464,0.9112,0.327,0.8139,0.3167,0.7609,0.0334,0.0609,0.3111,0.7987,0.8314,2.2057,0.5372,1.3741,0.448,1.0566,0.3491,0.9182,0.3188,0.8389,0.0508,0.0968,0.2784,0.6737,0.4122,1.3458,0.3444,0.9978,0.3147,0.8518,0.2864,0.7559,0.2729,0.7018,0.0373,0.0673,0.2873,0.7204,0.3894,1.3721,0.3328,1.034,0.3118,"0.8842,"
"2026-04-13 02:42:24,267",400,4.327e-05,8 days 22:51:53,4.539,0.103,30887.0,0.358,0.8675,0.4512,1.5328,0.3965,1.2081,0.3791,1.0658,0.3733,0.9695,0.3593,0.9038,0.0354,0.0693,0.3933,0.9322,0.9189,2.5437,0.6281,1.5827,0.5299,1.2268,0.4505,1.0644,0.4063,0.971,0.0534,0.1011,0.3319,0.8113,0.4934,1.5768,0.4037,1.2141,0.3865,1.0133,0.3518,0.9135,0.3303,0.8458,0.0387,0.0752,0.3424,0.8453,0.444,1.5258,0.3889,1.1798,0.3707,"1.0231,"
"2026-04-13 02:46:11,841",450,4.66e-05,8 days 22:26:38,4.551,0.105,30887.0,0.3918,0.8747,0.4914,1.5593,0.4283,1.1948,0.4165,1.0475,0.3976,0.9515,0.3877,0.9019,0.0365,0.0653,0.4403,1.0248,0.9994,2.7961,0.6847,1.7439,0.5911,1.3527,0.4968,1.2023,0.4513,1.0857,0.0609,0.1088,0.3838,0.8814,0.566,1.7072,0.4838,1.2558,0.4559,1.0859,0.4131,0.9711,0.3857,0.9017,0.0438,0.0783,0.3666,0.8681,0.4954,1.5471,0.4156,1.2078,0.406,"1.0523,"
"2026-04-13 02:49:58,562",500,4.993e-05,8 days 22:00:42,4.534,0.1,30904.0,0.3912,0.8412,0.4909,1.5119,0.4152,1.208,0.4043,1.049,0.3954,0.9379,0.3858,0.8677,0.0338,0.0591,0.4164,0.9677,0.9803,2.5747,0.6542,1.6026,0.5573,1.2788,0.479,1.1213,0.4202,1.0342,0.0577,0.0996,0.3869,0.9201,0.5396,1.7091,0.4599,1.3022,0.4364,1.1099,0.4103,1.0019,0.3886,0.9364,0.0448,0.0761,0.3938,0.8661,0.5021,1.5822,0.4303,1.2456,0.4064,"1.0713,"
