timestamp,iter,lr,eta,time,data_time,memory,cls,reg,d0.cls,d0.reg,d1.cls,d1.reg,d2.cls,d2.reg,d3.cls,d3.reg,d4.cls,d4.reg,seg,seg_dice,cls_t0,reg_t0,d0.cls_t0,d0.reg_t0,d1.cls_t0,d1.reg_t0,d2.cls_t0,d2.reg_t0,d3.cls_t0,d3.reg_t0,d4.cls_t0,d4.reg_t0,seg_t0,seg_dice_t0,cls_t1,reg_t1,d0.cls_t1,d0.reg_t1,d1.cls_t1,d1.reg_t1,d2.cls_t1,d2.reg_t1,d3.cls_t1,d3.reg_t1,d4.cls_t1,d4.reg_t1,seg_t1,seg_dice_t1,cls_t2,reg_t2,d0.cls_t2,d0.reg_t2,d1.cls_t2,d1.reg_t2,d2.cls_t2,d2.reg_t2
"2026-04-13 02:51:47,441",550,5e-05,8 days 11:41:40,4.328,0.109,30825.0,0.4229,0.9795,0.525,1.7974,0.4497,1.4071,0.439,1.2152,0.4289,1.0934,0.4123,1.0221,0.0401,0.0705,0.4952,1.1131,1.0645,2.7552,0.7272,1.7691,0.656,1.4202,0.5533,1.2666,0.5086,1.1686,0.067,0.1149,0.4142,1.0062,0.5949,1.7773,0.4969,1.3811,0.4728,1.2224,0.427,1.104,0.4078,1.0341,0.0486,0.0806,0.3919,0.9366,0.5256,1.7603,0.4528,1.3496,0.4266,"1.1384,"
"2026-04-13 02:55:23,205",600,5e-05,8 days 11:21:57,4.315,0.11,30825.0,0.3991,0.9674,0.5127,1.689,0.4341,1.3483,0.4188,1.1635,0.4009,1.0867,0.3922,1.0022,0.0395,0.0689,0.4251,0.9936,0.9528,2.555,0.6463,1.5907,0.556,1.2774,0.4772,1.1565,0.4351,1.0519,0.0629,0.1125,0.3828,0.926,0.5255,1.6373,0.4465,1.2532,0.4244,1.0925,0.3926,1.0297,0.3778,0.9635,0.0476,0.0793,0.3665,0.9118,0.4935,1.6976,0.4235,1.3207,0.4046,"1.1140,"
"2026-04-13 02:58:58,796",650,5e-05,8 days 11:03:57,4.312,0.117,30859.0,0.3926,1.0148,0.4829,1.7767,0.4293,1.4237,0.4122,1.2408,0.3999,1.1407,0.3868,1.0591,0.0424,0.0751,0.466,1.0427,0.9698,2.6841,0.678,1.7036,0.6042,1.3783,0.5412,1.2048,0.4867,1.0995,0.0634,0.114,0.389,0.9387,0.5468,1.7429,0.4618,1.3543,0.4366,1.1729,0.408,1.061,0.389,0.9881,0.0456,0.0819,0.3772,0.8942,0.51,1.6617,0.4369,1.2992,0.4188,"1.1198,"
"2026-04-13 03:02:33,079",700,5e-05,8 days 10:42:54,4.286,0.106,30859.0,0.4048,0.9776,0.5163,1.7159,0.4387,1.3705,0.4341,1.1887,0.4171,1.0824,0.407,1.0166,0.0428,0.073,0.4771,1.0327,1.0201,2.763,0.736,1.7402,0.6299,1.3688,0.5448,1.1941,0.4879,1.1028,0.0656,0.1207,0.4086,0.9263,0.6158,1.7615,0.5113,1.3256,0.4756,1.1323,0.4337,1.0296,0.4136,0.9655,0.0504,0.0918,0.3796,0.9005,0.5222,1.6715,0.4429,1.3055,0.4167,"1.1368,"
"2026-04-13 03:06:08,800",750,5e-05,8 days 10:29:32,4.315,0.108,30859.0,0.4128,1.0364,0.5328,1.7496,0.4637,1.3962,0.439,1.2218,0.426,1.142,0.4128,1.0815,0.0447,0.0779,0.5162,1.0496,1.0022,2.5701,0.7041,1.6705,0.6258,1.3774,0.5624,1.2092,0.5364,1.1042,0.0687,0.1287,0.4255,0.9566,0.6049,1.7305,0.5088,1.3402,0.4704,1.1694,0.4465,1.0779,0.4251,1.0158,0.0504,0.0912,0.4265,0.9656,0.5492,1.6165,0.4824,1.2963,0.4628,"1.1571,"
"2026-04-13 03:09:44,569",800,5e-05,8 days 10:17:24,4.315,0.108,30859.0,0.4176,1.0322,0.5379,1.8266,0.4642,1.4601,0.4439,1.2483,0.4208,1.1226,0.4155,1.0652,0.0436,0.0773,0.509,1.1855,1.0574,2.8212,0.7369,1.838,0.6469,1.4911,0.5686,1.3435,0.5224,1.2415,0.0746,0.1298,0.4282,1.0135,0.6028,1.817,0.5257,1.4194,0.4911,1.2436,0.453,1.1183,0.4261,1.0529,0.0538,0.0939,0.4128,0.9577,0.5318,1.7279,0.4764,1.3833,0.4513,"1.1852,"
"2026-04-13 03:13:20,352",850,5e-05,8 days 10:06:24,4.316,0.118,30859.0,0.425,1.0413,0.5376,1.847,0.4617,1.4515,0.4539,1.2819,0.4312,1.1707,0.425,1.0837,0.0431,0.0754,0.4609,1.0459,0.9994,2.6972,0.6913,1.7067,0.6064,1.359,0.5133,1.1931,0.466,1.0992,0.0653,0.1214,0.4125,0.9899,0.5732,1.7276,0.4794,1.3561,0.4583,1.1764,0.423,1.0912,0.405,1.0354,0.0513,0.0879,0.3926,0.931,0.5243,1.6914,0.4257,1.3323,0.4155,"1.1399,"
"2026-04-13 03:16:54,555",900,5e-05,8 days 9:51:27,4.285,0.106,30859.0,0.4401,1.0838,0.5821,1.9205,0.4948,1.5153,0.476,1.3239,0.4543,1.1827,0.4396,1.1248,0.0449,0.086,0.4884,1.079,1.0972,2.7597,0.7515,1.7516,0.6473,1.3819,0.5516,1.2436,0.4976,1.1447,0.0664,0.1358,0.4275,0.979,0.6224,1.8306,0.5177,1.4136,0.483,1.2004,0.4536,1.0982,0.4226,1.0364,0.0508,0.0951,0.4226,0.9335,0.5807,1.7747,0.4948,1.3765,0.4662,1.174
"2026-04-13 03:20:27,529",950,5e-05,8 days 9:34:02,4.26,0.114,30859.0,0.4753,0.9445,0.5861,1.8077,0.5126,1.3881,0.4966,1.1851,0.4701,1.0625,0.4721,0.9881,0.0435,0.082,0.4501,1.0267,1.0208,2.6983,0.6857,1.6941,0.6048,1.3157,0.5103,1.1687,0.4607,1.077,0.0662,0.1256,0.4542,0.937,0.5836,1.7302,0.509,1.3511,0.4812,1.153,0.4665,1.0321,0.4513,0.9774,0.0503,0.0974,0.4473,0.9094,0.5748,1.6782,0.5105,1.3173,0.4798,1.1268
"2026-04-13 03:24:01,403",1000,5e-05,8 days 9:20:28,4.277,0.109,30859.0,0.4166,0.9754,0.5271,1.6738,0.4572,1.3227,0.4295,1.1585,0.4249,1.075,0.4179,1.0159,0.0426,0.0821,0.4744,1.0252,1.0124,2.5822,0.6871,1.6029,0.5941,1.3031,0.5289,1.1398,0.4787,1.0704,0.065,0.1262,0.4031,0.924,0.5867,1.6768,0.4947,1.2745,0.4608,1.1049,0.4313,1.0223,0.4063,0.9755,0.048,0.0901,0.3853,0.8711,0.5338,1.5592,0.4433,1.2208,0.4199,"1.0488,"
